Day,SABD,VABD
2,7.625210348,6.322657609
4,7.391746113,7.397207743
7,7.316961432,8.114671685
9,7.071661963,8.324173358
11,7.225350244,8.183905689
14,7.069038912,7.987310186
16,7.106895511,7.854454543
18,7.122226264,8.25490333
21,6.831036959,8.272038982
23,6.85364384,8.129704082
25,6.732914029,8.018103075
28,6.95775468,8.418946757
30,6.969742602,7.455468216
32,6.822511466,8.819458447
35,6.890308663,8.403280758
37,6.922258572,8.428271209
39,6.547059494,8.247688975
42,6.472367836,7.63971505
44,6.31066196,7.540099143
46,6.366127274,8.00682138
49,6.455208204,8.169825325
51,6.64868879,8.206596405
53,7.125730431,8.115470432
56,6.084457161,8.069794781
58,6.446032693,8.281424664
60,6.090025115,8.264406428
63,5.968187265,7.988034025
65,6.687915848,8.324078052
67,6.500909761,8.324078052
70,5.970356173,8.556516262
72,5.931385915,8.212124805
74,6.128886725,7.890581877
77,5.727182885,8.329019082
79,5.696043435,8.17363417
81,5.697387434,8.206687043
84,6.139554001,7.910643313
86,6.131843382,7.890550336
88,6.066001441,8.191580332
91,6.318208576,8.035604636
93,5.915573194,7.464802338
95,5.927594912,8.098899869
98,5.964971105,8.332903352
100,6.033709412,7.960357956
102,6.064753826,8.340663191
105,6.19174921,8.379809441
107,6.216102338,8.447514703
109,6.107269526,8.504748177
112,6.31254329,7.790287965
114,6.474775559,8.222654915
117,6.729334602,8.367450745
119,6.721535126,8.054097923
121,6.740095095,8.458937007
125,7.003661827,7.846482281
129,6.854283964,7.919089337
131,7.078905589,7.998766495
135,6.715516153,8.194770049
144,7.538071376,8.242069978
146,8.187225483,8.27286777
149,7.664425054,8.376468698
2,7.499295782,6.361668961
4,7.204641765,7.838491629
7,6.934859627,8.106512849
9,7.142507477,8.43587192
11,7.027824009,8.447614898
14,7.34911316,8.321054622
16,7.238333467,8.350931804
18,6.868982428,8.63641199
21,6.690222573,8.795554215
23,6.368068385,8.487524568
25,6.201721773,8.568705861
28,6.544539239,8.574673494
30,6.432337763,8.527209097
32,6.454181613,8.783150242
35,6.429973177,8.632298857
37,6.649821707,8.653932061
39,5.944069933,8.483000775
42,5.671144263,7.973266783
44,5.605488628,8.055999245
46,6.05251937,8.380143757
49,5.627021588,8.561092653
51,5.518801009,8.462487548
53,5.675224621,8.530373412
56,6.24797514,8.131416306
58,6.21179713,7.964128524
60,5.683441711,8.022117143
63,5.474087598,7.910929315
65,5.685640675,8.063253476
67,6.153076861,8.063253476
70,5.719794951,8.234550091
72,6.123695327,8.073246367
74,6.306795967,8.239450684
77,6.33513288,8.318638992
79,6.543886131,7.894971164
81,6.506751664,8.204924221
84,6.540505847,8.206426896
86,6.775765353,7.351476445
88,6.963453226,8.463896614
91,6.944881425,8.366981073
93,7.01170745,8.526164902
95,6.896399545,8.448462845
98,6.947612067,8.58597325
100,6.904610931,8.089645987
102,6.889074677,8.155430552
105,6.940279067,8.184456941
107,6.861088058,8.632245756
109,7.09492468,8.611686326
112,7.033660203,8.383390941
117,7.573610141,8.322575967
119,7.472478105,8.271607117
121,7.347156982,8.213431497
125,7.412063252,8.175614305
129,7.347730435,7.699522591
131,7.429736009,7.847775515
135,7.519051817,8.301625427
144,7.459308941,8.522882547
146,7.721817752,8.872715104
149,7.17459001,8.577839399
2,6.994496008,6.265131893
4,6.993633457,7.389837576
7,6.809701162,8.161617109
9,7.183602929,8.405861069
11,7.152043913,8.388423869
14,7.168788348,8.467171165
16,6.977695264,8.438465124
18,6.886872228,8.651804856
21,6.947923931,8.93419775
23,7.176081578,8.583528245
25,7.204420401,8.695607166
28,7.064020221,8.708840289
30,7.083317395,8.552433727
32,6.920965036,8.705014292
35,6.96416333,8.735825458
37,7.598249158,8.710894863
39,6.655677452,8.73862883
42,6.739804758,8.438900359
44,6.907752554,8.280461833
46,6.666508299,8.675632423
49,6.519523667,8.92977992
51,6.673361095,8.699916602
53,6.847885155,8.652410939
56,6.82411881,8.765081379
58,6.772072415,8.672517065
60,6.861088058,8.720319972
63,6.439587215,8.654229501
65,6.803079374,8.278374804
67,6.459530501,8.278374804
70,6.223523342,8.340669904
72,6.113906399,8.298437288
74,5.698605652,7.883523124
77,5.853365663,8.247017064
79,5.797639359,7.903572942
81,5.772391866,8.203597393
84,6.093211822,8.364887034
86,5.869621096,8.367781972
88,5.748511419,8.523833905
91,5.799708332,8.692682079
93,5.594721026,8.646204345
95,5.823384692,8.26481491
98,6.17989368,8.606260609
100,6.05605469,8.494290599
102,6.278775017,8.451865179
107,6.000034632,8.411026876
109,6.014030576,8.307687971
112,5.666871079,8.115555925
114,6.048151921,7.948349049
117,6.414736347,8.005833346
119,6.290209373,8.091161486
121,6.225805771,8.208180974
125,6.248313964,7.936083825
129,6.230751945,7.868454852
131,6.378306626,8.04962718
135,6.37978775,8.287157251
144,6.739895106,8.385378909
146,7.022472796,8.594307092
149,7.020419254,8.758892016
