media.base,med.add,biorep,techrep,GR
NL,N,1,1,0.174826528
NL,N,1,2,0.20037326
NL,N,2,1,0.180378713
NL,N,2,2,0.188018453
NL,N,3,1,0.215975288
NL,N,3,2,0.1897159
NL,N,4,1,0.196227684
NL,N,4,2,0.231079421
NL,N,5,1,0.215578806
NL,N,5,2,0.205994077
NL,P,1,1,0.128263044
NL,P,1,2,0.145940421
NL,P,2,1,0.149111066
NL,P,2,2,0.145940421
NL,P,3,1,0.114682489
NL,P,3,2,0.110520352
NL,P,4,1,0.155377161
NL,P,4,2,0.203254042
NL,P,5,1,0.123197193
NL,P,5,2,0.164456405
NL,NP,1,1,0.21807145
NL,NP,1,2,0.21807145
NL,NP,2,1,0.184966885
NL,NP,2,2,0.270668065
NL,NP,3,1,0.208182327
NL,NP,3,2,0.226587847
NL,NP,4,1,0.200650071
NL,NP,4,2,0.282158797
NL,NP,5,1,0.215719301
NL,NP,5,2,0.262408149
NL,C,1,1,0.051776866
NL,C,1,2,0.06902483
NL,C,2,1,0.123197193
NL,C,2,2,0.137290916
NL,C,3,1,0.087160317
NL,C,3,2,0.096068182
NL,C,4,1,0.061328985
NL,C,4,2,0.139106073
NL,C,5,1,0.162750642
NL,C,5,2,0.14141648
PL,N,1,1,0.167722738
PL,N,1,2,0.193257283
PL,N,2,1,0.198932944
PL,N,2,2,0.22962356
PL,N,3,1,0.199055183
PL,N,3,2,0.206746971
PL,N,4,1,0.057012185
PL,N,4,2,0.216025358
PL,N,5,1,0.197786969
PL,N,5,2,0.220561903
PL,P,1,1,0.19501653
PL,P,1,2,0.248674903
PL,P,2,1,0.217948615
PL,P,2,2,0.288824902
PL,P,3,1,0.22962356
PL,P,3,2,0.227225636
PL,P,4,1,0.106956259
PL,P,4,2,0.252810646
PL,P,5,1,0.21042116
PL,P,5,2,0.240099688
PL,NP,1,1,0.196353056
PL,NP,1,2,0.200612272
PL,NP,2,1,0.198970985
PL,NP,2,2,0.237106264
PL,NP,3,1,0.197786969
PL,NP,3,2,0.221526458
PL,NP,4,1,0.110580858
PL,NP,4,2,0.212997315
PL,NP,5,1,0.257994237
PL,NP,5,2,0.214591445
PL,C,1,1,0.079842142
PL,C,1,2,0.170787219
PL,C,2,1,0.202465196
PL,C,2,2,0.174404574
PL,C,3,1,0.187036628
PL,C,3,2,0.196631715
PL,C,4,1,0.071635034
PL,C,4,2,0.209754604
PL,C,5,1,0.139937989
PL,C,5,2,0.199399112
