"","lim","cID","microbe","mean","var","sem","stab","start.abd","final.abd","min.day","min.abd","max.day","max.abd"
"1","N","NL2","Phage",151575374.522707,18813404938479284,79190498.0379155,1.10508312804528,2102120.50533333,157137459.128,72,1422487.56,16,573074216.267647
"2","N","NL3","Phage",292205381.62849,63800422624188472,145831435.367674,1.15684835245928,2362909.89133333,261895765.213333,2,2362909.89133333,30,940323547.475
"3","N","NL5","Phage",312565641.84809,77648203771170192,160881119.434165,1.12169692811138,2299688.222,378381690.96,2,2299688.222,30,1029347560.605
"4","P","PL2","Phage",161267374.163457,10469193177979048,59073945.689503,1.57612227857873,2102120.50533333,237940679.5675,2,2102120.50533333,32,659870094.66
"5","P","PL4","Phage",243403403.261277,23423404025069332,88361764.0254527,1.59038269487343,2299688.222,378302663.873333,2,2299688.222,146,745959250.214286
"6","P","PL5","Phage",312523939.760507,36598155476060544,110450826.880956,1.63362996769056,1841331.11933333,573973730.46,2,1841331.11933333,21,859404749.92125
"7","N","NL2","Syn",17594096.1807253,437054887771918,12070002.5928182,0.841586908368517,9599786,20629744.2,23,93339.0271428572,98,84902597.1333333
"8","N","NL3","Syn",16110167.6541836,302347461094069,10039048.1138082,0.926503143165491,22353787.4,17710625.6,44,300299.428125,100,80035766.85
"9","N","NL5","Syn",16985817.0937791,815245804277011,16484799.1017686,0.594897518068446,23186421.9,182017166.933333,39,117089.2265625,166,182017166.933333
"10","P","PL2","Syn",12944892.5203852,611576584180804,14277915.162712,0.52344737282047,42190079.9,74192631.8,79,496641.99,146,153895344.85
"11","P","PL4","Syn",10812795.2161685,132895043757991,6655700.40787071,0.937958418525689,31571541.1,19439566.65,63,297911.72625,146,52700866
"12","P","PL5","Syn",9399555.80326797,323238968474455,10380092.6212062,0.52281191231308,9874065.6,111891383.25,93,393297.355,166,111891383.25
